Formula,Reduced Negation Count,Reduced Negation Level,Reduced Operator Count,Reduced Operator Nesting (CNF),Reduced Operator Nesting (DNF)
((A & !B) -> (C | !D)),((A & D) -> (B | C)),,,,
((A & !(B | C)) -> D),,((A & !B & !C) -> D),,(!A | B | C | D),
((A & !B) -> (!C & !D)),((C | D) -> (A -> B)),,,,
((A | B) -> (C & !D & !E)),((A | B) -> !(C -> (D | E))),,,,
((A -> !B) & (A -> !C) & (A -> !D) & (A -> !E)),!(A & (B | C | D | E)),,(!A | (!C & !D & !B & !E)),,
(A -> (B -> ((C & D) -> E))),,,,(!A | !B | !C | !D | E),
(A <-> ((B & C & !D) | (D & !E))),(A <-> !(((B & C) -> D) & (D -> E))),,TODO,((A & B & C & !D) | (!A & !B & !D) | (!A & !C & !D) | (!A & D & E) | (A & D & !E)),((A | !B | !C | D) & (A | !D | E) & (!A | B | D) & (!A | C | D) & (!A | !D | !E))
(A <-> ((B & C & D & !E) | (E & !F))),(A <-> !(((B & C & D) -> E) & (E -> F))),,TODO,((A & B & C & D & !E) | (!A & !B & !E) | (!A & !C & !E) | (!A & !D & !E) | (!A & E & F) | (A & E & !F)),((A | !B | !C | !D | E) & (A | !E | F) & (!A | B | E) & (!A | C | E) & (!A | D | E) & (!A | !E | !F))
(A -> (B -> (C -> !(D | E)))),,(A -> (B -> (C -> (!D & !E)))),,(!A | !B | !C | (!D & !E)),
(A -> ((B & C) <-> !D)),,,,(!A | (B & C & !D) | (!C & D) | (!B & D)),((!A | !B | !C | !D) & (!A | B | D) & (!A | C | D))
(A -> ((B & C) -> D)),,,,(!A | !B | !C | D),
((A & B) | (C & B) | (D & B) | (E & B)),,,(B & (A | C | D | E)),,
((A & !B & !C) -> (!D | !E)),((A & D & E) -> (B | C)),,,,
(!A & !B & C & D),,,,,
((A & (B | C)) -> D),,,,(!A | (!B & !C) | D),
(A -> ((B | C | D) & E)),,,,(!A | (B & E) | (C & E) | (D & E)),((!A | B | C | D) & (!A | E))
((!A & !B & C) -> D),(C -> (A | B | D)),,,,
((A & !B & C) -> !D),,,,,
((A & !B) -> (!C & D)),((A -> B) | (!C & D)),,,,
(A -> (B -> (C -> D))),,,,(!A | !B | !C | D),
(A <-> !(B | C | D | E)),,(A <-> (!B & !C & !D & !E)),,,
(!A -> ((B & !C) <-> D)),(A | ((B & !C) <-> D)),,,(A | (B & !C & D) | (C & !D) | (!B & !D)),((A | !B | C | D) & (A | B | !D) & (A | !C | !D))
((!A & !B & !C) -> (D <-> E)),(A | B | C | (D <-> E)),,,(A | B | C | (!D & !E) | (D & E)),((A | B | C | D | !E) & (A | B | C | !D | E))
((A & (B | C | D | E)) -> F),,,,(!A | (!B & !C & !D & !E) | F),
((A <-> (B & !C)) | (C & !D)),((C -> D) -> (A <-> (B & !C))),,TODO,((A & B & !C) | (!A & !B) | (!A & C) | (C & !D)),((A | !B | C) & (!A | B | C) & (!A | !C | !D))
((A <-> (B & C & D & !E)) | (E & !F)),((E -> F) -> (A <-> (B & C & D & !E))),,TODO,((A & B & C & D & !E) | (!A & !B) | (!A & !C) | (!A & !D) | (!A & E) | (E & !F)),((A | !B | !C | !D | E) & (!A | B | E) & (!A | C | E) & (!A | D | E) & (!A | !E | !F))
((!A & !B & !C) | (!A & !B & !D) | (!A & !C & !D) | (!B & !C & !D)),!((A | B | C) & (A | B | D) & (A | C | D) & (B | C | D)),,((!A & !B & (!C | !D)) | ((!A | !B) & !C & !D)),,
((A & B & C) -> !(D | E)),,((A & B & C) -> (!D & !E)),,,
(!(A | B) -> !(C | D | (E & F))),((C | D | (E & F)) -> (A | B)),,,(A | B | (!C & !D & !E) | (!C & !D & !F)),((A | B | !E | !F) & (A | B | !D) & (A | B | !C))
(A -> (!B & !C & D)),((D -> (B | C)) -> !A),,,,
((A & B & !C & !D & !E) -> !F),((A & B & F) -> (C | D | E)),,,,
((A <-> (B & C & !D)) | (D & !E)),((D -> E) -> (A <-> (B & C & !D))),,TODO,((A & B & C & !D) | (!A & !B) | (!A & !C) | (!A & D) | (D & !E)),((A | !B | !C | D) & (!A | B | D) & (!A | C | D) & (!A | !D | !E))
(!A & !B & !C & !D),!(A | B | C | D),,,,
(A -> (!B & !C & !D)),(A -> !(B | C | D)),,,,
((A & B) -> !(C | D)),,((A & B) -> (!C & !D)),,,
(((A | B) & C) -> !D),,,,((!A & !B) | !C | !D),
((!A & (B | C)) -> !D),(((B | C) & D) -> A),,,(A | (!B & !C) | !D),
(A -> ((B | C | D) & (E | F))),,,,(!A | (B & E) | (C & E) | (D & E) | (B & F) | (C & F) | (D & F)),((!A | B | C | D) & (!A | E | F))
((!A & !B & C & D) -> E),((C & D) -> (A | B | E)),,,,
(A -> (!B & !C & (D | E | F))),(A -> (!(B | C) & (D | E | F))),,,(!A | (!B & !C & D) | (!B & !C & E) | (!B & !C & F)),((!A | D | E | F) & (!A | !C) & (!A | !B))
(!A -> (!B & !C & !D)),((B | C | D) -> A),,,,
(!(A | B) -> !(C | D | E | F)),((C | D | E | F) -> (A | B)),,,,
((A -> !B) & (C -> !D)),!((A & B) | (C & D)),,,,
!(A & B & !C & D),((A & B & D) -> C),,,,
!(!A & B & !C & D),((B & D) -> (A | C)),,,,
((A & B) -> (C & (D | E))),,,,(!(A & B) | (C & D) | (C & E)),((!A | !B | D | E) & (!A | !B | C))
(((A | B) & C) -> D),,,,((!A & !B) | !C | D),
(A -> ((B & C & D) -> !E)),,,,(!A | !B | !C | !D | !E),
!(A & !B & !C & D),((A & D) -> (B | C)),,,,
((A & !B & !C) -> D),(A -> (B | C | D)),,,,
((!A & B & C) <-> D),,,,,
!(!A & !B & C & D),((C & D) -> (A | B)),,,,
((A & B & C & !D & !E) -> F),,,,,
((A & !B & !C) -> !D),((A & D) -> (B | C)),,,,
(!A & !B & !C & !D & !E),!(A | B | C | D | E),,,,
((A & B & !C & !D & !E) -> F),((A & B) -> (C | D | E | F)),,,,
(A -> (B & !C & !D)),((B -> (C | D)) -> !A),,,,
((!A & !B & !C) -> D),(A | B | C | D),,,,
((A & B) | (C & B) | (D & B)),,,(B & (A | C | D)),,
