id,timestamp,is_mobile,gender,age,education,experience,fm,REDUCE_NEGATION_COUNT_original_time,REDUCE_NEGATION_COUNT_original_correct,REDUCE_NEGATION_COUNT_original_index,REDUCE_NEGATION_COUNT_original_formula,REDUCE_NEGATION_COUNT_rewritten_time,REDUCE_NEGATION_COUNT_rewritten_correct,REDUCE_NEGATION_COUNT_rewritten_index,REDUCE_NEGATION_COUNT_rewritten_formula,REDUCE_NEGATION_COUNT_INCREASE_NEGATION_LEVEL_TRADEOFF_original_time,REDUCE_NEGATION_COUNT_INCREASE_NEGATION_LEVEL_TRADEOFF_original_correct,REDUCE_NEGATION_COUNT_INCREASE_NEGATION_LEVEL_TRADEOFF_original_index,REDUCE_NEGATION_COUNT_INCREASE_NEGATION_LEVEL_TRADEOFF_original_formula,REDUCE_NEGATION_COUNT_INCREASE_NEGATION_LEVEL_TRADEOFF_rewritten_time,REDUCE_NEGATION_COUNT_INCREASE_NEGATION_LEVEL_TRADEOFF_rewritten_correct,REDUCE_NEGATION_COUNT_INCREASE_NEGATION_LEVEL_TRADEOFF_rewritten_index,REDUCE_NEGATION_COUNT_INCREASE_NEGATION_LEVEL_TRADEOFF_rewritten_formula,ELIMINATE_NEGATION_original_time,ELIMINATE_NEGATION_original_correct,ELIMINATE_NEGATION_original_index,ELIMINATE_NEGATION_original_formula,ELIMINATE_NEGATION_rewritten_time,ELIMINATE_NEGATION_rewritten_correct,ELIMINATE_NEGATION_rewritten_index,ELIMINATE_NEGATION_rewritten_formula,REDUCE_NEGATION_LEVEL_original_time,REDUCE_NEGATION_LEVEL_original_correct,REDUCE_NEGATION_LEVEL_original_index,REDUCE_NEGATION_LEVEL_original_formula,REDUCE_NEGATION_LEVEL_rewritten_time,REDUCE_NEGATION_LEVEL_rewritten_correct,REDUCE_NEGATION_LEVEL_rewritten_index,REDUCE_NEGATION_LEVEL_rewritten_formula,REDUCE_OPERATOR_COUNT_original_time,REDUCE_OPERATOR_COUNT_original_correct,REDUCE_OPERATOR_COUNT_original_index,REDUCE_OPERATOR_COUNT_original_formula,REDUCE_OPERATOR_COUNT_rewritten_time,REDUCE_OPERATOR_COUNT_rewritten_correct,REDUCE_OPERATOR_COUNT_rewritten_index,REDUCE_OPERATOR_COUNT_rewritten_formula,REDUCE_OPERATOR_NESTING_original_time,REDUCE_OPERATOR_NESTING_original_correct,REDUCE_OPERATOR_NESTING_original_index,REDUCE_OPERATOR_NESTING_original_formula,REDUCE_OPERATOR_NESTING_rewritten_time,REDUCE_OPERATOR_NESTING_rewritten_correct,REDUCE_OPERATOR_NESTING_rewritten_index,REDUCE_OPERATOR_NESTING_rewritten_formula,REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF_original_time,REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF_original_correct,REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF_original_index,REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF_original_formula,REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF_rewritten_time,REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF_rewritten_correct,REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF_rewritten_index,REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF_rewritten_formula,REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF_original_time,REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF_original_correct,REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF_original_index,REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF_original_formula,REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF_rewritten_time,REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF_rewritten_correct,REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF_rewritten_index,REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF_rewritten_formula,total_time,total_correct
65c0dba16e337599b75ee640,2024-02-05T12:59:13.869Z,FALSE,M,35,MSc,7,expert,12708,TRUE,0,((A & !B) -> (!C & D)),18369,TRUE,15,((A -> B) | (!C & D)),18565,TRUE,10,(!A & !B & !C & !D & !E),13552,TRUE,8,!(A | B | C | D | E),13631,TRUE,5,((A & !B) -> (C | !D)),15414,TRUE,14,((A & D) -> (B | C)),15762,TRUE,9,((A & B & C) -> !(D | E)),18854,TRUE,2,((A & B & C) -> (!D & !E)),28382,TRUE,13,((A & B) | (C & B) | (D & B) | (E & B)),21838,TRUE,6,(B & (A | C | D | E)),,,1,(A -> (B -> (C -> D))),11247,TRUE,7,(!A | !B | !C | D),27354,TRUE,4,(A -> ((B | C | D) & (E | F))),22381,TRUE,11,(!A | (B & E) | (C & E) | (D & E) | (B & F) | (C & F) | (D & F)),23295,TRUE,3,((!A & !B & !C) -> (D <-> E)),40020,TRUE,12,((A | B | C | D | !E) & (A | B | C | !D | E)),301372,15
65c0fe046e337599b75ee6a6,2024-02-05T15:25:56.167Z,TRUE,M,35,MSc,10,,16396.5,TRUE,9,(!A -> ((B & !C) <-> D)),6532.9,TRUE,3,(A | ((B & !C) <-> D)),17379.2,TRUE,5,((A -> !B) & (C -> !D)),14080.3,TRUE,1,!((A & B) | (C & D)),16610.3,FALSE,10,((!A & !B & !C) -> D),19128.3,TRUE,0,(A | B | C | D),15985.6,TRUE,8,((A & B & C) -> !(D | E)),13965.8,TRUE,11,((A & B & C) -> (!D & !E)),11811.4,TRUE,7,((A & B) | (C & B) | (D & B) | (E & B)),15585.4,TRUE,14,(B & (A | C | D | E)),13319.4,FALSE,12,((A & (B | C)) -> D),13635.8,TRUE,13,(!A | (!B & !C) | D),12692.5,TRUE,15,(A -> ((B & C) <-> !D)),10743.5,TRUE,2,(!A | (B & C & !D) | (!C & D) | (!B & D)),17689.3,FALSE,6,((A <-> (B & C & !D)) | (D & !E)),29401.6,TRUE,4,((A | !B | !C | D) & (!A | B | D) & (!A | C | D) & (!A | !D | !E)),244957.8,13
65c140206e337599b75ee6f3,2024-02-05T20:08:00.779Z,FALSE,M,29,MSc,10,some,21985.9,TRUE,2,((A & !B) -> (!C & D)),12882.2,TRUE,8,((A -> B) | (!C & D)),17907.7,TRUE,10,((A -> !B) & (C -> !D)),16452.9,FALSE,13,!((A & B) | (C & D)),56729.2,TRUE,0,!(A & B & !C & D),9485.1,TRUE,11,((A & B & D) -> C),39237.7,TRUE,6,(A <-> !(B | C | D | E)),14835.4,TRUE,14,(A <-> (!B & !C & !D & !E)),18865.3,TRUE,7,((A -> !B) & (A -> !C) & (A -> !D) & (A -> !E)),19200.8,TRUE,4,(!A | (!C & !D & !B & !E)),13476.2,TRUE,5,(A -> ((B & C) -> D)),18132.7,TRUE,3,(!A | !B | !C | D),10223.1,TRUE,15,(!A -> ((B & !C) <-> D)),7501.1,TRUE,9,(A | (B & !C & D) | (C & !D) | (!B & !D)),23200.1,TRUE,12,(A <-> ((B & C & !D) | (D & !E))),51094.6,TRUE,1,((A | !B | !C | D) & (A | !D | E) & (!A | B | D) & (!A | C | D) & (!A | !D | !E)),351210,15
65c15b316e337599b75ee73e,2024-02-05T22:03:29.177Z,,,,NaN,,NaN,46157.7,TRUE,10,((A <-> (B & C & D & !E)) | (E & !F)),43950,TRUE,8,((E -> F) -> (A <-> (B & C & D & !E))),36892.3,TRUE,4,(A <-> ((B & C & D & !E) | (E & !F))),9938.7,TRUE,7,(A <-> !(((B & C & D) -> E) & (E -> F))),26477.8,FALSE,14,((A & !B & !C) -> D),24585.3,TRUE,1,(A -> (B | C | D)),15401.3,TRUE,11,(A <-> !(B | C | D | E)),86540,TRUE,0,(A <-> (!B & !C & !D & !E)),20930.9,TRUE,5,((A & B) | (C & B) | (D & B) | (E & B)),27249.3,TRUE,9,(B & (A | C | D | E)),47945.4,TRUE,6,(A -> (B -> (C -> !(D | E)))),26485.1,TRUE,2,(!A | !B | !C | (!D & !E)),38709,TRUE,3,((A <-> (B & !C)) | (C & !D)),40030.6,TRUE,13,((A & B & !C) | (!A & !B) | (!A & C) | (C & !D)),36964.8,TRUE,15,((!A & !B & !C) -> (D <-> E)),42599.4,TRUE,12,((A | B | C | D | !E) & (A | B | C | !D | E)),570857.6,15
65c1a7176e337599b75ee788,2024-02-06T03:27:19.271Z,,,,NaN,,NaN,12114,FALSE,8,((A <-> (B & !C)) | (C & !D)),18224,TRUE,13,((C -> D) -> (A <-> (B & !C))),,,4,(A <-> ((B & C & !D) | (D & !E))),22847,FALSE,6,(A <-> !(((B & C) -> D) & (D -> E))),,,2,((A & !B) -> (!C & !D)),15483,TRUE,0,((C | D) -> (A -> B)),8754,TRUE,12,(A <-> !(B | C | D | E)),9394,TRUE,10,(A <-> (!B & !C & !D & !E)),,,3,((A -> !B) & (A -> !C) & (A -> !D) & (A -> !E)),6508,TRUE,15,(!A | (!C & !D & !B & !E)),13066,TRUE,9,((!A & (B | C)) -> !D),8511,TRUE,11,(A | (!B & !C) | !D),28470,TRUE,7,((A <-> (B & C & D & !E)) | (E & !F)),6482,TRUE,14,((A & B & C & D & !E) | (!A & !B) | (!A & !C) | (!A & !D) | (!A & E) | (E & !F)),15057,TRUE,1,(A -> ((B & C) <-> !D)),27738,TRUE,5,((!A | !B | !C | !D) & (!A | B | D) & (!A | C | D)),192648,11
65c1c1146e337599b75ee7c9,2024-02-06T05:18:12.266Z,TRUE,M,36,BSc,14,none,38478.1,TRUE,6,(!A -> ((B & !C) <-> D)),16969.7,TRUE,14,(A | ((B & !C) <-> D)),44884.9,TRUE,1,(A -> (!B & !C & (D | E | F))),28672.3,TRUE,11,(A -> (!(B | C) & (D | E | F))),54187.7,TRUE,0,((!A & !B & !C) -> (D <-> E)),16892.4,TRUE,3,(A | B | C | (D <-> E)),18361.2,TRUE,12,((A & B & C) -> !(D | E)),30446.3,TRUE,8,((A & B & C) -> (!D & !E)),36261.7,TRUE,5,((!A & !B & !C) | (!A & !B & !D) | (!A & !C & !D) | (!B & !C & !D)),34094.7,TRUE,13,((!A & !B & (!C | !D)) | ((!A | !B) & !C & !D)),21113,TRUE,9,(A -> ((B & C & D) -> !E)),18419.6,TRUE,15,(!A | !B | !C | !D | !E),37035.1,TRUE,10,(!(A | B) -> !(C | D | (E & F))),36486,TRUE,7,(A | B | (!C & !D & !E) | (!C & !D & !F)),25699.7,TRUE,2,(A -> ((B & C) <-> !D)),35551.1,TRUE,4,((!A | !B | !C | !D) & (!A | B | D) & (!A | C | D)),493553.5,16
65c1d22d6e337599b75ee814,2024-02-06T06:31:09.733Z,TRUE,M,32,BSc,6,some,20029.7,TRUE,12,((A <-> (B & C & !D)) | (D & !E)),8673.2,TRUE,5,((D -> E) -> (A <-> (B & C & !D))),9534.6,TRUE,11,((A | B) -> (C & !D & !E)),44598.7,TRUE,0,((A | B) -> !(C -> (D | E))),9797.1,FALSE,8,((A & B & !C & !D & !E) -> !F),5660.2,FALSE,7,((A & B & F) -> (C | D | E)),18521.1,FALSE,2,(A <-> !(B | C | D | E)),21304.7,TRUE,4,(A <-> (!B & !C & !D & !E)),9529.6,TRUE,13,((A & B) | (C & B) | (D & B) | (E & B)),6546.1,TRUE,9,(B & (A | C | D | E)),12874.1,FALSE,14,((A & !(B | C)) -> D),4525.4,TRUE,15,(!A | B | C | D),20384.7,FALSE,6,((!A & !B & !C) -> (D <-> E)),8109.3,TRUE,3,(A | B | C | (!D & !E) | (D & E)),28024,TRUE,1,(A -> (!B & !C & (D | E | F))),43795.5,TRUE,10,((!A | D | E | F) & (!A | !C) & (!A | !B)),271908,11
65c1d6816e337599b75ee85f,2024-02-06T06:49:37.369Z,TRUE,M,40,PhD,10,expert,13143,TRUE,7,((A <-> (B & C & D & !E)) | (E & !F)),5968,TRUE,15,((E -> F) -> (A <-> (B & C & D & !E))),11286,TRUE,14,(A <-> ((B & C & !D) | (D & !E))),23301,TRUE,5,(A <-> !(((B & C) -> D) & (D -> E))),12452,TRUE,13,(!(A | B) -> !(C | D | (E & F))),13885,TRUE,0,((C | D | (E & F)) -> (A | B)),8818,TRUE,12,(A <-> !(B | C | D | E)),7768,FALSE,4,(A <-> (!B & !C & !D & !E)),9068,TRUE,2,((A & B) | (C & B) | (D & B)),4347,TRUE,6,(B & (A | C | D)),16620,TRUE,8,(A -> (B -> ((C & D) -> E))),6968,FALSE,3,(!A | !B | !C | !D | E),11969,TRUE,10,((!A & !B & !C) -> (D <-> E)),4268,TRUE,11,(A | B | C | (!D & !E) | (D & E)),10035,TRUE,9,((A <-> (B & !C)) | (C & !D)),16603,TRUE,1,((A | !B | C) & (!A | B | C) & (!A | !C | !D)),176499,14
65c1e9ad6e337599b75ee8c6,2024-02-06T08:11:25.796Z,TRUE,F,44,BSc,18,none,29341.7,FALSE,2,(A -> (!B & !C & D)),72146.3,TRUE,8,((D -> (B | C)) -> !A),38107.1,TRUE,0,(!A & !B & !C & !D),23012.3,TRUE,6,!(A | B | C | D),37266,TRUE,12,((!A & !B & !C) -> (D <-> E)),17590.2,TRUE,3,(A | B | C | (D <-> E)),38083.1,TRUE,13,(A <-> !(B | C | D | E)),21163.6,TRUE,14,(A <-> (!B & !C & !D & !E)),23371.8,FALSE,15,((A -> !B) & (A -> !C) & (A -> !D) & (A -> !E)),20207.2,FALSE,10,(!A | (!C & !D & !B & !E)),15429.5,FALSE,11,(A -> ((B & C & D) -> !E)),142021,FALSE,4,(!A | !B | !C | !D | !E),22909.8,TRUE,9,(A <-> ((B & C & D & !E) | (E & !F))),27755.2,TRUE,1,((A & B & C & D & !E) | (!A & !B & !E) | (!A & !C & !E) | (!A & !D & !E) | (!A & E & F) | (A & E & !F)),20093.1,FALSE,5,(A -> (!B & !C & (D | E | F))),46786.2,FALSE,7,((!A | D | E | F) & (!A | !C) & (!A | !B)),595284.1,9
65c1e9dc6e337599b75ee8e3,2024-02-06T08:12:12.917Z,FALSE,M,41,PhD,10,expert,31576.4,TRUE,15,((A <-> (B & C & D & !E)) | (E & !F)),23878.4,TRUE,8,((E -> F) -> (A <-> (B & C & D & !E))),6765.6,TRUE,1,(A -> (!B & !C & !D)),11127.8,TRUE,11,(A -> !(B | C | D)),9174.2,TRUE,4,((!A & !B & C) -> D),8735.8,TRUE,13,(C -> (A | B | D)),21511.8,TRUE,6,((A & B & C) -> !(D | E)),18900.9,TRUE,0,((A & B & C) -> (!D & !E)),23790.2,TRUE,10,((!A & !B & !C) | (!A & !B & !D) | (!A & !C & !D) | (!B & !C & !D)),42023.7,FALSE,5,((!A & !B & (!C | !D)) | ((!A | !B) & !C & !D)),28727.8,FALSE,2,(A -> ((B & C) -> D)),8977.8,TRUE,3,(!A | !B | !C | D),14047.3,TRUE,7,(A -> ((B & C) <-> !D)),15977.8,TRUE,9,(!A | (B & C & !D) | (!C & D) | (!B & D)),28433.9,TRUE,14,((A <-> (B & !C)) | (C & !D)),32302.6,TRUE,12,((A | !B | C) & (!A | B | C) & (!A | !C | !D)),325952,14
