Original,Refactoring,Time,Improvement,Original Score,Refactoring Score
((A&!B)->(C|!D)),(!A|B|C|!D),0.153,0.6404543468763652,22.890000000000004,14.660000000000002
!((A|B)->!(C&!D)),((A|B)&C&!D),0.091,0.656043956043956,27.3,17.91
((A&!(B|C))->D),(!A|B|C|D),0.053,0.503968253968254,27.720000000000002,13.97
((A&!B)->(!C&!D)),(!A|B|(!C&!D)),0.06,0.8108448928121059,23.790000000000003,19.290000000000003
!(!(!A|!B)->!(!C|!D)),(A&B&(!C|!D)),0.014,0.5948193156379917,31.269999999999996,18.599999999999998
((A|B)->(C&!D&!E)),((!A&!B)|(C&!D&!E)),0.09,0.983809118023008,23.470000000000002,23.09
((A->!B)&(A->!C)&(A->!D)&(A->!E)),((B|C|D|E)->!A),0.056,0.5518694049499736,37.980000000000004,20.96
!(!(!A->!B)&!(!A->!C)&!(A->D)&!(A->E)),(A|!A|!B|!C|D|E),0.039,0.36566998892580294,45.150000000000006,16.510000000000005
(!(!A->!B)|!(!A->!C)|!(A->D)|!(A->E)),((!A&B)|(!A&C)|(A&!D)|(A&!E)),0.096,0.6935034802784222,43.1,29.89
(A->(B->((C&D)->E))),!(A&B&C&D&!E),0.026,0.5163297045101088,32.15,16.599999999999998
(A<->((B&C&!D)|(D&!E))),(A<->((B&C&!D)|(D&!E))),0.206,1.0,31.38,31.38
!(!A<->!(!(!B|!C|!D)|(D|!E))),!(!A<->!((B&C&D)|D|!E)),0.085,0.8724597056762436,42.81,37.349999999999994
!(!A<->!(!(!B|!C|!D)|(D|!E))),!(!A<->!((B&C&D)|D|!E)),0.094,0.8724597056762436,42.81,37.349999999999994
(A<->((B&C&D&!E)|(E&!F))),(A<->((B&C&D&!E)|(E&!F))),0.158,1.0,31.96,31.96
(A->(B->(C->!(D|E)))),(!A|!B|!C|(!D&!E)),0.021,0.5505181347150259,38.6,21.25
(A->((B&C)<->!D)),(!A|((B&C)<->!D)),0.074,0.9558163617535381,28.970000000000002,27.69
!(A->((!B|!C)<->!D)),(A&(((!B|!C)&D)|(B&C&!D))),0.062,0.8298507462686567,40.199999999999996,33.36
!(A->((!B|!C)<->!D)),(A&(((!B|!C)&D)|(B&C&!D))),0.042,0.8298507462686567,40.199999999999996,33.36
(A->((B&C)->D)),(!A|!B|!C|D),0.015,0.6278118609406954,24.450000000000003,15.350000000000003
!(!A->((B&!C)->D)),(!A&B&!C&!D),0.014,0.4009179265658748,37.04,14.850000000000003
!(!A->((B&!C)->D)),(!A&B&!C&!D),0.014,0.4009179265658748,37.04,14.850000000000003
((A&B)|(B&C)|(B&D)|(B&E)),((A|C|D|E)&B),0.021,0.630787495053423,25.27,15.94
((A|!B)&(B|C)&(!B|D)&!(!B|!E)),((B->(A&D))&B&(B|C)&E),0.067,0.7672362993517974,33.94,26.040000000000003
((A|!B)&(B|C)&(!B|D)&!(!B|!E)),((B->(A&D))&B&(B|C)&E),0.068,0.7672362993517974,33.94,26.040000000000003
((A&!B&!C)->(!D|!E)),(!A|B|C|!D|!E),0.018,0.6410462776659959,24.850000000000005,15.930000000000001
!(!(!A&B&!C)->!(D&E)),((A|!B|C)&D&E),0.025,0.6274177129284018,29.47,18.49
(!A&!B&C&D),(!A&!B&C&D),0.003,1.0,14.160000000000002,14.160000000000002
!(!A&B&!C&D),(A|!B|C|!D),0.002,0.877318970676242,16.709999999999997,14.660000000000002
(!A|B|!C|D),(!A|B|!C|D),0.002,1.0,14.660000000000002,14.660000000000002
(!A|B|!C|D),(!A|B|!C|D),0.002,1.0,14.660000000000002,14.660000000000002
((A&(B|C))->D),(!A|(!B&!C)|D),0.018,0.8860817638952686,21.770000000000007,19.290000000000003
!((A&(!B|C))->D),(A&(!B|C)&!D),0.02,0.5524205524205523,33.67,18.599999999999998
!((A&(!B|C))->D),(A&(!B|C)&!D),0.019,0.5524205524205523,33.67,18.599999999999998
(A->((B|C|D)&E)),(A->((B|C|D)&E)),0.025,1.0,22.350000000000005,22.350000000000005
!(!A->!(!(B&C&D)|E)),(!A&(!B|!C|!D|E)),0.042,0.6031094162511001,34.089999999999996,20.560000000000002
!(!A->!(!(B&C&D)|E)),(!A&(!B|!C|!D|E)),0.04,0.6031094162511001,34.089999999999996,20.560000000000002
((!A&!B&C)->D),(A|B|!C|D),0.01,0.679144385026738,20.57,13.97
!(!(A|!B|!C)->!D),(!A&B&C&D),0.013,0.5014892032762471,26.860000000000003,13.47
((A&!B&C)->!D),(!A|B|!C|!D),0.013,0.7462323772484202,20.57,15.350000000000003
!((!A|!B|C)->D),((!A|!B|C)&!D),0.019,0.7139156180606958,27.020000000000003,19.290000000000003
!((!A|!B|C)->D),((!A|!B|C)&!D),0.018,0.7139156180606958,27.020000000000003,19.290000000000003
((A&!B)->(!C&D)),(!A|B|(!C&D)),0.019,0.8051948051948051,23.099999999999998,18.599999999999998
!((A&B)->!(C&D)),(A&B&C&D),0.003,0.38504936530324396,28.360000000000003,10.92
(A->(B->(C->D))),(!A|!B|!C|D),0.013,0.5555555555555556,27.630000000000003,15.350000000000003
!(!A->!(!B->!(!C->D))),(!A&(B|(!C&!D))),0.027,0.6105585309869932,39.209999999999994,23.94
!(!A->!(!B->!(!C->D))),(!A&(B|(!C&!D))),0.026,0.6105585309869932,39.209999999999994,23.94
(A<->!(B|C|D|E)),(A<->(!B&!C&!D&!E)),0.073,0.9323224852071007,27.04,25.21
(!A->((B&!C)<->D)),(A|((B&!C)<->D)),0.053,0.9103169251517196,29.66,27.000000000000004
!(!A->!((!B|C)<->!D)),(!A&((!B|C)<->!D)),0.055,0.7212198221092759,39.349999999999994,28.380000000000003
((!A&!B&!C)->(D<->E)),(A|B|C|(D<->E)),0.045,0.7320374869836863,28.810000000000002,21.090000000000003
!((!A|B|!C)->!(!D<->!E)),((!A|B|!C)&(!D<->!E)),0.087,0.7843304843304845,35.1,27.530000000000005
!((!A|B|!C)->!(!D<->!E)),((!A|B|!C)&(!D<->!E)),0.088,0.7843304843304845,35.1,27.530000000000005
((A&(B|C|D|E))->F),(!A|(!B&!C&!D&!E)|F),0.024,0.9520279110335802,22.930000000000003,21.83
